**********	ACC2	version	4.2:	ACC2_scenarios_past.inc	*******************************************************************																	
**********	Table	declarations	and	assignments	(past	mode)	==============================================================															
																						
TABLE	ANTSCN(T,FOE)	Historical	emissions	(both	energy	related	and	non-energy	related)	[TgS	for	SO2]										
*	Anthropogenic	CO2	emission	is	assigned	later.																
*	Data	source	for	CH4	and	N2O	after	1890:00:00														
*	EDGAR-HYDE	1,4	(http://www.mnp.nl/edgar/model/100_year_emissions/edgar-hyde-1.4/)																			
*	Data	source	for	NOx,	CO,	VOC,	and	SO2	after	1890:00:00												
*	EDGAR-HYDE	1,3	(http://www.mnp.nl/edgar/model/100_year_emissions/edgar-hyde-1.3/)																			
*	Note	that	the	livestock	N2O	emission	in	Africa	in	1950	was	corrected	by	smoothing	as	suggested	by	van	Aardenne.			
*	Data	prior	to	1890	are	extrapolated	by	using	various	assumptions.												
																						
	CH4	N2O	NOx	CO	VOC	SO2																
1982	0	6,614	31,94	388	157,4	64,533																
1983	0	6,702	32,38	392,3	160,3	65,244																
1984	0	6,837	32,82	396,7	163,3	65,955																
1985	0	6,829	33,26	401,1	166,3	66,666																
1986	0	6,872	33,7	405,4	169,2	67,377																
1987	0	6,972	34,14	409,8	172,2	68,088																
1988	0	7,055	34,58	414,2	175,1	68,799																
1989	0	7,172	35,02	418,5	178,1	69,51																
1990	0	7,147	35,46	422,9	181	70,221																
1991	0	7,063	35,77	426,7	181,6	70,723																
1992	0	7,058	36,08	430,6	182,1	71,225																
1993	0	7,011	36,38	434,5	182,6	71,727																
1994	0	7,12	36,69	438,3	183,2	72,229																
1995	0	7,304	37	442,2	183,7	72,73																
1996	0	7,397	37,3	446	184,2	73,232																
1997	0	7,49	37,61	449,9	184,7	73,734																
1998	0	7,583	37,92	453,7	185,3	74,236																
1999	0	7,676	38,23	457,6	185,8	74,738																
2000	0	7,769	38,53	461,5	186,3	75.240;																
																						
																						
TABLE	CONSCN(T,FOC)	Historical	concentrations	[ppt]																		
																						
	CF4	C2F6	C4F10																			
1750	39	0	0																			
1751	39	0	0																			
1752	39	0	0																			
1753	39	0	0																			
1754	39	0	0																			
1755	39	0	0																			
1756	39	0	0																			
1757	39	0	0																			
1758	39	0	0																			
1759	39	0	0																			
1760	39	0	0																			
1761	39	0	0																			
1762	39	0	0																			
1763	39	0	0																			
1764	39	0	0																			
1765	39	0	0																			
1766	39	0	0																			
1767	39	0	0																			
1768	39	0	0																			
1769	39	0	0																			
1770	39	0	0																			
1771	39	0	0																			
1772	39	0	0																			
1773	39	0	0																			
1774	39	0	0																			
1775	39	0	0																			
1776	39	0	0																			
1777	39	0	0																			
1778	39	0	0																			
1779	39	0	0																			
1780	39	0	0																			
1781	39	0	0																			
1782	39	0	0																			
1783	39	0	0																			
1784	39	0	0																			
1785	39	0	0																			
1786	39	0	0																			
1787	39	0	0																			
1788	39	0	0																			
1789	39	0	0																			
1790	39	0	0																			
1791	39	0	0																			
1792	39	0	0																			
1793	39	0	0																			
1794	39	0	0																			
1795	39	0	0																			
1796	39	0	0																			
1797	39	0	0																			
1798	39	0	0																			
1799	39	0	0																			
1800	39	0	0																			
1801	39	0	0																			
1802	39	0	0																			
1803	39	0	0																			
1804	39	0	0																			
1805	39	0	0																			
1806	39	0	0																			
1807	39	0	0																			
1808	39	0	0																			
1809	39	0	0																			
1810	39	0	0																			
1811	39	0	0																			
1812	39	0	0																			
1813	39	0	0																			
1814	39	0	0																			
1815	39	0	0																			
1816	39	0	0																			
1817	39	0	0																			
1818	39	0	0																			
1819	39	0	0																			
1820	39	0	0																			
1821	39	0	0																			
1822	39	0	0																			
1823	39	0	0																			
1824	39	0	0																			
1825	39	0	0																			
1826	39	0	0																			
1827	39	0	0																			
1828	39	0	0																			
1829	39	0	0																			
1830	39	0	0																			
1831	39	0	0																			
1832	39	0	0																			
1833	39	0	0																			
1834	39	0	0																			
1835	39	0	0																			
1836	39	0	0																			
1837	39	0	0																			
1838	39	0	0																			
1839	39	0	0																			
1840	39	0	0																			
1841	39	0	0																			
1842	39	0	0																			
1843	39	0	0																			
1844	39	0	0																			
1845	39	0	0																			
1846	39	0	0																			
1847	39	0	0																			
1848	39	0	0																			
1849	39	0	0																			
1850	39	0	0																			
1851	39	0	0																			
1852	39	0	0																			
1853	39	0	0																			
1854	39	0	0																			
1855	39	0	0																			
1856	39	0	0																			
1857	39	0	0																			
1858	39	0	0																			
1859	39	0	0																			
1860	39	0	0																			
1861	39	0	0																			
1862	39	0	0																			
1863	39	0	0																			
1864	39	0	0																			
1865	39	0	0																			
1866	39	0	0																			
1867	39	0	0																			
1868	39	0	0																			
1869	39	0	0																			
1870	39	0	0																			
1871	39	0	0																			
1872	39	0	0																			
1873	39	0	0																			
1874	39	0	0																			
1875	39	0	0																			
1876	39	0	0																			
1877	39	0	0																			
1878	39	0	0																			
1879	39	0	0																			
1880	39	0	0																			
1881	39	0	0																			
1882	39	0	0																			
1883	39	0	0																			
1884	39	0	0																			
1885	39	0	0																			
1886	39	0	0																			
1887	39	0	0																			
1888	39	0	0																			
1889	39	0	0																			
1890	39	0	0																			
1891	39	0	0																			
1892	39	0	0																			
1893	39	0	0																			
1894	39	0	0																			
1895	39	0	0																			
1896	39	0	0																			
1897	39	0	0																			
1898	39	0	0																			
1899	39	0	0																			
1900	39	0	0																			
1901	39	0	0																			
1902	39	0	0																			
1903	39	0	0																			
1904	39	0	0																			
1905	39	0	0																			
1906	39	0	0																			
1907	39	0	0																			
1908	39	0	0																			
1909	39	0	0																			
1910	39	0	0																			
1911	39	0	0																			
1912	39	0	0																			
1913	39	0	0																			
1914	39	0	0																			
1915	39	0	0																			
1916	39	0	0																			
1917	39	0	0																			
1918	39	0	0																			
1919	39	0	0																			
1920	39	0	0																			
1921	39	0	0																			
1922	39	0	0																			
1923	39	0	0																			
1924	39	0	0																			
1925	39	0	0																			
1926	39	0	0																			
1927	39	0	0																			
1928	39	0	0																			
1929	39	0	0																			
1930	39	0	0																			
1931	39	0	0																			
1932	39	0	0																			
1933	39	0	0																			
1934	39	0	0																			
1935	39	0	0																			
1936	39	0	0																			
1937	39	0	0																			
1938	39	0	0																			
1939	39	0	0																			
1940	39	0	0																			
1941	39	0	0																			
1942	39	0	0																			
1943	39	0	0																			
1944	39	0	0																			
1945	39	0	0																			
1946	39	0	0																			
1947	39	0	0																			
1948	39	0	0																			
1949	39	0	0																			
1950	39	0	0																			
1951	39	0	0																			
1952	39	0	0																			
1953	39	0	0																			
1954	39	0	0																			
1955	39	0	0																			
1956	39	0	0																			
1957	39	0	0																			
1958	39	0	0																			
1959	39	0	0																			
1960	39	0	0																			
1961	39	0	0																			
1962	39,6	0	0																			
1963	40,6	0	0																			
1964	41,7	0	0																			
1965	42,8	0	0																			
1966	43,9	0	0																			
1967	44,9	0	0																			
1968	46	0	0																			
1969	47,1	0	0																			
1970	48,1	0,05	0																			
1971	49,2	0,16	0																			
1972	50,3	0,26	0																			
1973	51,4	0,36	0																			
1974	52,4	0,47	0																			
1975	53,5	0,57	0																			
1976	54,6	0,68	0																			
1977	55,7	0,78	0																			
1978	56,7	0,88	0																			
1979	57,8	0,99	0																			
1980	58,9	1,09	0																			
1981	59,9	1,2	0																			
1982	61	1,3	0																			
1983	62,1	1,4	0																			
